trackname,albumname,played_at
Worth It (feat. Kid Ink),Reflection (Deluxe),2025-07-21T13:20:12.709Z
Baby,My World 2.0,2025-07-21T13:16:42.504Z
Bloody Mary,Born This Way (International Special Edition Version),2025-07-21T13:12:48.037Z
Despacito - Remix,VIDA,2025-07-21T13:08:52.591Z
"Love Me Like You Do - From \"Fifty Shades Of Grey\"",Delirium (Deluxe),2025-07-21T13:05:13.412Z
Worth It,Worth It,2025-07-21T13:00:43.871Z
Perfect,÷ (Deluxe),2025-07-21T12:57:56.085Z
Unstoppable,This Is Acting,2025-07-21T12:53:12.517Z
Go Down Deh (feat. Sean Paul & Shaggy),10,2025-07-21T12:48:42.590Z
